number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_DATA,local_search,1935.208175927314,1935.208175927314,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",1935.2081759273144,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.0002881999999999607,nan,nan,nan,nan,nan,nan,[0.0]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_DATA,local_search,2849.964203248856,2849.964203248856,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2849.9642032488564,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.0003373999999998212,nan,nan,nan,nan,nan,nan,[0.0]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_DATA,local_search,2672.783922024946,2672.783922024946,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2672.783922024946,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.0002420000000000755,nan,nan,nan,nan,nan,nan,[0.0]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.00024110000000021614,nan,nan,nan,nan,nan,nan,[0.0]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search,2138.4694210788257,2138.4694210788257,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.00026239999999999597,nan,nan,nan,nan,nan,nan,[0.0]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.000281600000000104,nan,nan,nan,nan,nan,nan,[0.0]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_DATA,local_search,2812.785510358919,2812.785510358919,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2812.785510358919,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.0002735000000000376,nan,nan,nan,nan,nan,nan,[0.0]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_DATA,local_search,4483.726936907282,4483.726936907282,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 3, 1, 2, 0]",4483.726936907283,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.0003248999999998503,nan,nan,nan,nan,nan,nan,[0.0]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_DATA,local_search,2642.734850528839,2642.734850528839,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2642.734850528839,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.00026919999999996946,nan,nan,nan,nan,nan,nan,[0.0]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_DATA,local_search,3900.075015622191,3900.075015622191,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3900.075015622191,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",0.0,0.0,nan,0.0,0.0002533000000002339,nan,nan,nan,nan,nan,nan,[0.0]
