,number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm                       ,full_cost,hamiltonian_cycle_cost,best_way,suffix ,parameters                                               ,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration         ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
0,4,0,TSP_CITIES_SET_0_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0002979,0,0,10301,10301,10301,10301
1,4,1,TSP_CITIES_SET_1_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003027000000002,0,0,10301,10301,10301,10301
2,4,2,TSP_CITIES_SET_2_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0002811,0,0,10301,10301,10301,10301
3,4,3,TSP_CITIES_SET_3_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003443999999999,0,0,10365,10365,10365,10365
4,4,4,TSP_CITIES_SET_4_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003389999999998,0,0,10365,10365,10365,10365
5,4,5,TSP_CITIES_SET_5_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003096999999998,0,0,10365,10365,10365,10365
6,4,6,TSP_CITIES_SET_6_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0002910999999996,0,0,10301,10301,10301,10301
7,4,7,TSP_CITIES_SET_7_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003529000000002,0,0,10365,10365,10365,10365
8,4,8,TSP_CITIES_SET_8_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004129999999999,0,0,10365,10365,10365,10365
9,4,9,TSP_CITIES_SET_9_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003413,0,0,10365,10365,10365,10365
