number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.0035941,0,1383,753080,753080,753080,753080
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.8943715999999999,0,1383,753080,753080,753080,753080
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.8969835000000002,0,1383,753080,753080,753080,753080
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.9006721,0,1383,753080,753080,753080,753080
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.8794200999999999,0,1383,753080,753080,753080,753080
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.8879766,0,1383,753080,753080,753080,753080
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.0448315999999997,0,1383,753080,753080,753080,753080
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.8844546000000002,0,1383,753080,753080,753080,753080
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.9426229999999998,0,1383,753080,753080,753080,753080
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,genetic_algorithm_heuristic_scikit_opt,nan,nan,[],False,nan,nan,[],nan,SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_0_01_MAX_ATTEMPTS_5_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 0.01, 'max_attempts': 5, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,0.8896119000000002,0,1383,753080,753080,753080,753080
