number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1104.087855763018,1962.4549101168068,"[0, 2, 1, 3, 0]",False,27.246734189492372,1.4079484847378894,"[0, 1, 2, 3, 0]",1935.2081759273144,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5559560000000001,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1971.1240585126247,2849.964203248856,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2849.9642032488564,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5810271999999999,nan,nan,nan,nan,nan,nan
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1391.5399952100715,2672.783922024946,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2672.783922024946,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5880166999999998,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1183.7160219357045,2146.3712042310062,"[0, 2, 3, 1, 0]",False,57.432646506448236,2.7493698315860735,"[0, 1, 2, 3, 0]",2088.938557724558,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5729395,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1085.86455694414,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5397017000000002,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1922.5129752061002,3284.0709064010975,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.6235439999999999,nan,nan,nan,nan,nan,nan
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1482.3173899393691,2856.8082047504395,"[0, 2, 1, 3, 0]",False,44.02269439152042,1.5650924761022038,"[0, 1, 2, 3, 0]",2812.785510358919,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5977066,nan,nan,nan,nan,nan,nan
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,2683.9969571603206,4483.726936907282,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 3, 1, 2, 0]",4483.726936907283,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.6985991999999999,nan,nan,nan,nan,nan,nan
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1694.262394418489,2642.734850528839,"[0, 3, 1, 2, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2642.734850528839,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.5696538000000002,nan,nan,nan,nan,nan,nan
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_DATA,genetic_algorithm_heuristic_scikit_opt,1980.464294442516,3908.7477279657105,"[0, 3, 2, 1, 0]",False,8.672712343519379,0.22237296228354198,"[0, 1, 3, 2, 0]",3900.075015622191,SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200,"{'suffix': 'SCIKIT_AG_POP_100_PROB_MUT_1_0_MAX_ATTEMPTS_10_NR_ITER_200', 'size_of_population': 100, 'probability_of_mutation': 1.0, 'max_attempts': 10, 'max_iterations': 200, 'selection_mode': 'selection_tournament_faster', 'mutation_mode': 'mutation_TSP_1', 'crossover_mode': 'crossover_pmx', 'tourn_size': 1}",nan,nan,nan,nan,1.6541233999999996,nan,nan,nan,nan,nan,nan
