number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm     ,full_cost         ,hamiltonian_cycle_cost,best_way                                               ,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way                                            ,optimal_cost      ,suffix                                  ,parameters                                                                                              ,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4               ,0              ,TSP_CITIES_SET_0_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,1935.208175927314 ,1935.208175927314     ,"[0, 3, 2, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 2, 3, 0]"                                      ,1935.2081759273144,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",100.0                 ,100.0                 ,nan                   ,100.0                 ,0.17562679999999986  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[100.0]
4               ,1              ,TSP_CITIES_SET_1_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,2849.964203248856 ,2849.964203248856     ,"[0, 2, 3, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 3, 2, 0]"                                      ,2849.9642032488564,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.014574399999999876 ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,2              ,TSP_CITIES_SET_2_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,2672.783922024946 ,2672.783922024946     ,"[0, 2, 1, 3, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 2, 1, 3, 0]"                                      ,2672.783922024946 ,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.023802599999999785 ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,3              ,TSP_CITIES_SET_3_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,2088.938557724558 ,2088.938557724558     ,"[0, 3, 2, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 2, 3, 0]"                                      ,2088.938557724558 ,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.02120949999999988  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,4              ,TSP_CITIES_SET_4_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,2138.4694210788257,2138.4694210788257    ,"[0, 3, 2, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 2, 3, 0]"                                      ,2138.4694210788252,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.03675909999999982  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,5              ,TSP_CITIES_SET_5_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,3284.070906401097 ,3284.070906401097     ,"[0, 2, 3, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 3, 2, 0]"                                      ,3284.0709064010966,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",99.7                  ,99.7                  ,nan                   ,99.7                  ,0.19373869999999993  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[99.7]
4               ,6              ,TSP_CITIES_SET_6_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,2812.785510358919 ,2812.785510358919     ,"[0, 3, 2, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 2, 3, 0]"                                      ,2812.785510358919 ,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.025586600000000015 ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,7              ,TSP_CITIES_SET_7_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,4483.726936907282 ,4483.726936907282     ,"[0, 2, 1, 3, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 3, 1, 2, 0]"                                      ,4483.726936907283 ,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",100.0                 ,100.0                 ,nan                   ,100.0                 ,0.1940322000000001   ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[100.0]
4               ,8              ,TSP_CITIES_SET_8_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,2642.734850528839 ,2642.734850528839     ,"[0, 2, 1, 3, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 2, 1, 3, 0]"                                      ,2642.734850528839 ,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.018956399999999984 ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,9              ,TSP_CITIES_SET_9_N_4.json  ,TIME_AND_DATA      ,simulated_annealing,3900.075015622191 ,3900.075015622191     ,"[0, 1, 3, 2, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 3, 2, 0]"                                      ,3900.075015622191 ,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",0.0                   ,0.0                   ,nan                   ,0.0                   ,0.02718709999999991  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[0.0]
4               ,10             ,TSP_CITIES_SET_10_N_4.json ,TIME_AND_DATA      ,simulated_annealing,2611.1585930675274,2611.1585930675274    ,"[0, 2, 3, 1, 0]"                                      ,True               ,0.0                    ,0.0                    ,"[0, 1, 3, 2, 0]"                                      ,2611.1585930675283,SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt,"{'suffix': 'SA_ALPHA_0_9_PERTURBATION_SCHEME_two_opt', 'alpha': 0.9, 'perturbation_scheme': 'two_opt'}",83.1                  ,83.1                  ,nan                   ,83.1                  ,0.1658757999999998   ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,[83.1]
