number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix                                           ,parameters                                                                                                                                               ,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
15              ,0              ,TSP_CITIES_SET_0_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,8.798626599999999   ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,1              ,TSP_CITIES_SET_1_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,8.49082119999997    ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,2              ,TSP_CITIES_SET_2_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,8.5549307           ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,3              ,TSP_CITIES_SET_3_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,9.00093979999997    ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,4              ,TSP_CITIES_SET_4_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,9.330096899999944   ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,5              ,TSP_CITIES_SET_5_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,9.292460699999992   ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,6              ,TSP_CITIES_SET_6_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,10.090535799999998  ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,7              ,TSP_CITIES_SET_7_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,8.55003459999989    ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,8              ,TSP_CITIES_SET_8_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,8.562693800000034   ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
15              ,9              ,TSP_CITIES_SET_9_N_15.json ,TIME_AND_MEMORY    ,ant_colony    ,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20,"{'suffix': 'ACO_POP_300_ALPHA_0_7_BETA_1_9_RHO_0_7_NR_ITER_20', 'size_of_population': 300, 'alpha': 0.7, 'beta': 1.9, 'rho': 0.7, 'max_iterations': 20}",nan                   ,nan                   ,nan                   ,nan                   ,8.608236499999748   ,224                                    ,1583                                        ,33760                                 ,33760                                      ,33536                                             ,33536                                                  ,[]
